Date,Open,High,Low,Close,Adj Close,Volume
2021-09-07,46.990002,47.500000,46.540001,46.750000,45.270199,26236900
2021-09-08,46.509998,46.790001,46.250000,46.509998,45.037796,15839600
2021-09-09,46.470001,46.720001,45.849998,46.029999,44.572983,21695300
2021-09-10,46.270000,46.349998,45.509998,45.590000,44.146915,20801500
2021-09-13,45.740002,45.830002,44.200001,44.580002,43.168884,37086200
2021-09-14,44.669998,45.259998,44.549999,44.709999,43.294769,24100200
2021-09-15,44.560001,45.369999,44.470001,44.770000,43.352871,28674600
2021-09-16,44.880001,44.990002,44.029999,44.470001,43.062366,22424200
2021-09-17,44.169998,44.459999,43.310001,43.889999,42.500725,56370500
2021-09-20,43.389999,44.650002,43.389999,44.200001,42.800915,41873000
2021-09-21,44.250000,44.730000,43.849998,43.919998,42.529778,23645600
2021-09-22,43.990002,44.389999,43.830002,43.950001,42.558826,22616700
2021-09-23,44.279999,44.720001,44.150002,44.189999,42.791229,19719200
2021-09-24,44.070000,44.410000,43.810001,43.939999,42.549141,16150700
2021-09-27,43.919998,44.130001,43.509998,43.570000,42.190857,19955900
2021-09-28,43.070000,43.279999,42.430000,43.040001,41.677635,28512200
2021-09-29,43.220001,43.689999,43.080002,43.529999,42.152119,18037200
2021-09-30,43.790001,44.049999,42.970001,43.009998,41.648579,21103300
2021-10-01,42.520000,43.099998,41.700001,42.930000,41.571114,38483000
2021-10-04,42.930000,43.349998,42.209999,42.419998,41.077255,28906500
2021-10-05,42.529999,42.790001,42.279999,42.320000,40.980423,19342600
2021-10-06,42.060001,42.200001,41.689999,42.020000,40.689915,30483800
2021-10-07,42.520000,42.959999,42.209999,42.740002,41.387131,19778300
2021-10-08,42.730000,42.910000,42.340000,42.450001,41.106312,12778600
2021-10-11,42.450001,42.619999,42.009998,42.060001,40.728653,11984200
2021-10-12,42.160000,42.209999,41.660000,41.849998,40.525295,16222300
2021-10-13,41.750000,41.910000,40.939999,41.419998,40.108906,28205700
2021-10-14,41.560001,41.959999,41.520000,41.669998,40.350990,17590300
2021-10-15,41.900002,42.029999,41.380001,41.490002,40.176697,23550300
2021-10-18,41.450001,41.700001,41.040001,41.320000,40.012074,21733000
